order_id,product_id,quantity,unit_price,order_item_id
1,118,1,45.95,1
1,90,3,19.77,2
1,4,2,117.02,3
2,73,3,60.18,4
2,61,1,71.69,5
3,83,3,182.33,6
3,36,3,58.06,7
3,50,3,39.47,8
3,116,2,15.09,9
4,18,1,117.65,10
5,99,1,70.91,11
5,47,1,107.75,12
5,59,3,103.59,13
5,31,2,75.42,14
6,48,1,125.1,15
6,39,2,127.8,16
7,22,2,95.07,17
7,75,2,85.47,18
8,18,1,117.65,19
8,90,1,19.77,20
8,53,3,131.64,21
8,71,2,73.16,22
9,87,1,155.9,23
9,90,2,19.77,24
10,44,2,92.01,25
10,72,3,44.37,26
11,18,3,117.65,27
12,101,1,46.04,28
12,30,2,58.43,29
13,74,1,60.43,30
14,118,1,45.95,31
14,94,2,24.49,32
14,27,1,85.77,33
14,39,3,127.8,34
15,33,3,16.35,35
16,117,2,135.35,36
16,15,3,107.2,37
17,44,2,92.01,38
18,3,3,78.93,39
18,7,2,62.52,40
19,38,3,112.68,41
19,37,3,70.91,42
19,58,2,123.31,43
19,33,3,16.35,44
20,82,1,18.82,45
20,68,2,116.81,46
20,113,2,63.5,47
20,98,3,93.03,48
21,42,3,98.11,49
21,25,1,114.68,50
22,55,3,112.44,51
23,95,3,33.66,52
23,14,3,103.27,53
23,39,1,127.8,54
23,28,1,71.83,55
24,45,1,122.14,56
24,22,3,95.07,57
25,42,1,98.11,58
26,59,3,103.59,59
26,74,1,60.43,60
26,39,3,127.8,61
26,15,3,107.2,62
27,83,1,182.33,63
27,10,3,16.57,64
27,92,3,147.23,65
28,12,2,127.19,66
28,111,1,102.57,67
29,19,3,120.91,68
30,8,3,183.83,69
30,119,1,110.63,70
30,84,3,142.25,71
30,47,1,107.75,72
31,87,1,155.9,73
31,16,2,32.58,74
31,77,1,35.18,75
31,67,1,79.82,76
32,71,3,73.16,77
33,102,2,114.81,78
33,98,1,93.03,79
33,41,1,162.48,80
34,1,2,85.59,81
34,10,1,16.57,82
34,107,1,86.82,83
34,80,2,99.39,84
35,89,2,14.61,85
35,81,2,114.74,86
35,60,1,62.93,87
35,26,1,110.27,88
36,43,1,104.88,89
36,6,3,30.09,90
36,111,1,102.57,91
37,62,3,57.83,92
37,13,2,88.25,93
38,18,1,117.65,94
38,59,3,103.59,95
38,60,3,62.93,96
38,63,3,82.57,97
39,104,1,137.43,98
40,46,2,89.38,99
